71544919,71545879,379,379,379,363,379,396,379,363
71546967,71547927,379,363,379,379,379,379,379,379
71547991,71548951,379,379,363,363,379,363,379,363
71549015,71549975,396,363,379,379,379,379,363,379
71550039,71550999,379,363,379,379,379,363,363,396
71551063,71552023,363,363,379,379,379,363,363,379
71552087,71553047,379,346,363,379,379,346,363,379
71553111,71554071,379,363,363,379,363,363,363,379
71554135,71555095,363,363,363,379,379,363,379,396
71555159,71556119,379,379,379,396,379,363,379,379
71558231,71559191,379,396,379,379,363,379,379,396
71559255,71560215,363,379,363,363,363,379,379,363
71560279,71561239,363,379,363,346,363,363,363,346
71561303,71562263,363,379,363,346,363,363,363,346
71562327,71563287,363,363,363,346,346,379,379,363
71564375,71565335,379,379,379,363,379,379,379,363
71565399,71566359,396,396,379,363,379,379,379,346
71566423,71567383,379,379,379,363,379,379,379,363
71567447,71568407,379,379,379,363,379,379,379,363
71568471,71569431,379,379,363,379,363,379,379,363
71569495,71570455,379,379,363,363,379,379,379,379
71570519,71571479,396,379,379,363,379,379,379,363
71571543,71572503,379,363,379,363,379,379,379,379
71573591,71574551,379,363,379,363,379,363,379,363
71574615,71575575,379,363,363,363,379,363,379,363
71575639,71576599,379,363,379,379,379,379,379,379
71576663,71577623,396,363,379,396,379,379,379,379
71577687,71578647,379,346,379,396,379,363,379,379
71578711,71579671,379,379,379,396,379,363,379,379
71579735,71580695,379,363,363,379,379,379,379,379
71580759,71581719,379,363,379,379,379,379,379,379
71583831,71584791,363,363,363,363,363,363,379,379
71584855,71585815,363,363,379,379,363,379,379,379
71585879,71586839,363,363,379,379,379,379,379,379
71586903,71587863,363,379,379,379,363,379,363,379
71587927,71588887,363,363,379,363,363,379,363,379
71588951,71589911,363,379,379,363,363,379,363,363
71589975,71590935,363,379,379,346,363,363,363,363
71590999,71591959,379,379,363,363,379,379,363,363
71592023,71592983,363,379,363,363,379,396,363,363
71593047,71594007,363,396,379,363,379,396,363,379
71594071,71595031,363,379,363,363,379,396,396,379
71596119,71597079,379,379,379,346,379,396,363,363
71597143,71598103,379,396,379,363,379,379,379,363
71598167,71599127,379,379,363,363,396,379,379,363
71599191,71600151,363,363,363,363,379,363,363,363
71600215,71601175,379,396,396,379,379,379,363,379
71601239,71602199,379,379,379,379,379,396,379,379
71602263,71603223,379,396,379,379,396,379,379,379
71603287,71604247,379,379,379,379,379,379,379,379
71604311,71605271,379,379,379,379,396,379,379,379
