1663006.000000,1665038.000000,379,379,379,379,395,363,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,367,367,391,391,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,379,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371,371
1669150.000000,1671182.000000,351,383,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,367,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
1691678.000000,1693710.000000,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,376,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,386,354,370,370,370,370,370,370,370,370,370,370,370,370,364,364,380,348,380,348,364,364,364,364,364,364,364,364,364,364,364,364,364,364,380,348,380,348,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364,364
1714206.000000,1716238.000000,374,374,374,374,374,374,390,358,374,374,374,374,374,374,374,374,358,390,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,390,358,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,358,390,374,374,374,374,374,374,390,358,374,374,374,374,374,374,358,390,374,374,374,374,374,374,390,358,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
1718302.000000,1720334.000000,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,390,358,374,374,374,374,358,390,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,398,350,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374,374
1724446.000000,1726478.000000,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,352,384,368,368,368,368,384,352,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,384,352,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368,368
1726494.000000,1728526.000000,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,353,385,369,369,369,369,369,369,385,353,369,369,369,369,369,369,353,385,353,385,369,369,369,369,385,353,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,385,353,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,385,353,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1728542.000000,1730574.000000,386,354,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,386,354,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,354,386,370,370,370,370,386,354,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,370,354,386,370,370,370,370,370,370,370,370,370,370,370,370,370,370,354,386,370,370,370,370,370,370,386,354,370,370,370,370,370,370,370,370
1730590.000000,1732622.000000,369,369,369,369,369,369,385,353,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,353,385,369,369,369,369,393,345,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369,369
1740830.000000,1742862.000000,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,393,361,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,361,393,377,377,377,377,377,377,377,377,377,377,377,377,377,377,361,393,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377,377
