1373518476.815316,2,51875,0,2,-33,68,21,0,21,0,21,0,20,0,20,0,21,0,20,0,21,0
1373518477.032980,2,24553,1,4,-33,71,20,0,21,0,18,0,19,0,21,0,21,0,21,0,20,0
1373518478.599434,2,7571,0,5,-32,96,20,0,19,0,19,0,19,0,19,0,19,0,19,0,20,0
1373518478.629218,2,22713,1,5,-32,93,19,0,19,0,20,0,19,0,19,0,19,0,19,0,17,0
1373518478.712020,2,2603,0,1,-32,97,22,0,17,0,19,0,19,0,19,0,19,0,19,0,20,0
1373518479.163187,2,23427,0,0,-33,71,22,0,17,0,20,0,21,0,17,0,19,0,19,0,21,0
1373518479.549346,2,4745,1,4,-34,80,19,0,20,0,19,0,19,0,19,0,19,0,19,0,19,0
1373518479.995334,2,14235,0,4,-33,83,19,0,20,0,21,0,17,0,20,0,19,0,19,0,19,0
1373518480.120059,2,42705,1,5,-33,74,19,0,19,0,20,0,20,0,19,0,19,0,19,0,19,0
1373518480.209751,2,62579,0,1,-33,71,19,0,19,0,21,0,17,0,20,0,19,0,19,0,19,0
1373518480.238795,2,56665,1,1,-33,82,19,0,19,0,20,0,20,0,19,0,19,0,19,0,19,0
1373518480.745672,2,38923,0,1,-30,108,19,0,20,0,19,0,19,0,20,0,19,0,19,0,20,0
1373518480.774511,2,51233,1,1,-30,107,19,0,19,0,19,0,19,0,19,0,20,0,19,0,19,0
1373518481.150669,2,22627,0,0,-31,97,19,0,20,0,21,0,17,0,19,0,19,0,19,0,19,0
1373518481.179511,2,2345,1,0,-32,104,19,0,20,0,19,0,19,0,19,0,19,0,20,0,19,0
1373518481.648452,2,7035,0,0,-32,92,19,0,19,0,19,0,20,0,19,0,19,0,19,0,19,0
1373518481.680313,2,21105,1,0,-32,103,19,0,18,0,19,0,18,0,19,0,18,0,18,0,18,0
1373518482.134331,2,63315,0,0,-32,91,18,0,18,0,18,0,17,0,18,0,17,0,18,0,17,0
1373518482.164144,2,58873,1,0,-32,89,17,0,17,0,17,0,16,0,17,0,16,0,16,0,16,0
1373518482.774827,2,45547,0,1,-29,105,9,0,9,0,10,0,9,0,10,0,10,0,10,0,10,0
1373518483.017349,2,5569,1,4,-26,103,9,0,10,0,10,0,10,0,10,0,11,0,8,0,11,0
1373518483.150931,2,16707,0,0,-25,107,9,0,9,0,10,0,10,0,10,0,9,0,10,0,10,0
1373518483.179928,2,50121,1,0,-25,107,9,0,10,0,10,0,10,0,9,0,10,0,10,0,9,0
1373518483.641882,2,19291,0,0,-27,108,10,0,10,0,10,0,9,0,10,0,10,0,9,0,10,0
1373518483.669929,2,57873,1,0,-28,108,10,0,9,0,10,0,10,0,10,0,9,0,10,0,10,0
1373518484.141922,2,42547,0,0,-29,100,10,0,9,0,10,0,10,0,9,0,10,0,10,0,10,0
1373518484.171893,2,62105,1,0,-30,104,9,0,10,0,10,0,9,0,10,0,10,0,10,0,9,0
1373518484.720691,2,55243,0,1,-30,103,9,0,10,0,10,0,10,0,10,0,10,0,9,0,10,0
1373518484.749474,2,34657,1,1,-31,102,10,0,9,0,10,0,10,0,9,0,11,0,9,0,10,0
1373518485.141846,2,38435,0,0,-31,102,9,0,10,0,10,0,9,0,10,0,10,0,10,0,9,0
1373518485.195681,2,49769,1,0,-31,104,10,0,10,0,9,0,10,0,10,0,10,0,9,0,10,0
1373518485.640687,2,18235,0,0,-31,105,10,0,9,0,10,0,10,0,10,0,10,0,9,0,10,0
1373518485.669637,2,54705,1,0,-30,105,9,0,10,0,10,0,10,0,9,0,10,0,10,0,10,0
1373518486.139813,2,33043,0,0,-33,97,9,0,10,0,10,0,9,0,10,0,10,0,9,0,10,0
1373518486.167677,2,33593,1,0,-33,97,10,0,9,0,10,0,10,0,10,0,9,0,10,0,10,0
1373518487.495769,2,40193,0,4,-34,76,10,0,9,0,11,0,9,0,9,0,11,0,9,0,10,0
1373518487.523763,2,55043,1,4,-32,89,10,0,9,0,10,0,10,0,10,0,10,0,9,0,10,0
